Date,Project_ID,Project_Name,Planned_Spend,Actual_Spend,Cumulative_Planned_Spend,Cumulative_Actual_Spend,Financial_Variance
2026-01-27,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,0,1797807,0,1797807,1797807
2026-02-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6836557,0,6836557,1797807,-5038750
2026-03-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6824328,0,13660885,1797807,-11863078
2026-04-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6836557,1920106,20497442,3717913,-16779529
2026-05-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6824328,3436624,27321770,7154537,-20167233
2026-06-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6836557,0,34158327,7154537,-27003790
2026-07-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6836557,1137388,40994884,8291925,-32702959
2026-08-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6824328,1651047,47819212,9942972,-37876240
2026-09-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,6836557,36484304,54655769,46427276,-8228493
2025-04-15,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,0,6212374,0,6212374,6212374
2025-05-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,15152132,25152539,21364506,-3788033
2025-06-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152538,32122519,50305077,53487025,3181948
2025-07-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25228300,25001017,75533377,78488042,2954665
2025-08-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152538,22273634,100685915,100761676,75761
2025-09-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,12803551,125838454,113565227,-12273227
2025-10-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152538,45229113,150990992,158794340,7803348
2025-11-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,10909535,176143531,169703875,-6439656
2025-12-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,21288745,201296070,190992620,-10303450
2026-01-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25228299,20985702,226524369,211978322,-14546047
2026-02-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,39925868,251676908,251904190,227282
2026-03-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152538,27349597,276829446,279253787,2424341
2026-04-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,6894220,301981985,286148007,-15833978
2026-05-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152538,38410654,327134523,324558661,-2575862
2026-06-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,17197669,352287062,341756330,-10530732
2026-07-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25228299,36365117,377515361,378121447,606086
2026-08-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,12121705,402667900,390243152,-12424748
2026-09-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,25152539,236696999,427820439,626940151,199119712
2025-12-31,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,0,0,0,0,0
2026-01-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13167052,15814972,13167052,15814972,2647920
2026-02-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13203325,0,26370377,15814972,-10555405
2026-03-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13167053,12441595,39537430,28256567,-11280863
2026-04-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13203325,7145755,52740755,35402322,-17338433
2026-05-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13167052,20711810,65907807,56114132,-9793675
2026-06-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13203325,9503492,79111132,65617624,-13493508
2026-07-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13167053,1995008,92278185,67612632,-24665553
2026-08-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13203325,15379698,105481510,82992330,-22489180
2026-09-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,13167052,6058815,118648562,89051145,-29597417
2024-05-20,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,0,469967,0,469967,469967
2024-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,5122636,7096496,5592603,-1503893
2024-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,2890295,14192992,8482898,-5710094
2024-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7119995,4088709,21312987,12571607,-8741380
2024-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,7096496,12125139,28409483,24696746,-3712737
