Date,Project_ID,Project_Name,Planned_Progress,Actual_Progress,Progress_Variance
2026-01-27,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,0.0,1.47,1.47
2026-02-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,5.59,1.47,-4.12
2026-03-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,11.17,1.47,-9.7
2026-04-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,16.76,3.04,-13.72
2026-05-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,22.34,5.85,-16.49
2026-06-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,27.93,5.85,-22.08
2026-07-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,33.52,6.78,-26.74
2026-08-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,39.1,8.13,-30.97
2026-09-01,JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,44.69,26.45,-18.24
2025-04-15,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,0.0,0.82,0.82
2025-05-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,3.32,2.82,-0.5
2025-06-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,6.64,7.06,0.42
2025-07-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,9.97,10.36,0.39
2025-08-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,13.29,13.3,0.01
2025-09-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,16.61,14.99,-1.62
2025-10-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,19.93,20.96,1.03
2025-11-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,23.25,22.4,-0.85
2025-12-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,26.57,25.21,-1.36
2026-01-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,29.9,27.98,-1.92
2026-02-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,33.22,33.25,0.03
2026-03-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,36.54,36.86,0.32
2026-04-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,39.86,37.77,-2.09
2026-05-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,43.18,42.84,-0.34
2026-06-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,46.5,45.11,-1.39
2026-07-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,49.83,49.91,0.08
2026-08-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,53.15,51.51,-1.64
2026-09-01,JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,56.47,56.22,-0.25
2025-12-31,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,0.0,0.0,0.0
2026-01-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,3.63,4.36,0.73
2026-02-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,7.27,4.36,-2.91
2026-03-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,10.9,7.79,-3.11
2026-04-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,14.54,9.76,-4.78
2026-05-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,18.17,15.47,-2.7
2026-06-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,21.81,18.09,-3.72
2026-07-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,25.44,18.64,-6.8
2026-08-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,29.08,22.88,-6.2
2026-09-01,JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,32.71,28.9,-3.81
2024-05-20,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,0.0,0.2,0.2
2024-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,3.02,2.38,-0.64
2024-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,6.04,3.61,-2.43
2024-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,9.07,5.35,-3.72
2024-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,12.09,10.51,-1.58
2024-10-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,15.11,12.8,-2.31
2024-11-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,18.13,14.1,-4.03
2024-12-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,21.16,15.32,-5.84
2025-01-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,24.18,17.62,-6.56
2025-02-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,27.2,21.25,-5.95
2025-03-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,30.22,24.14,-6.08
2025-04-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,33.24,26.37,-6.87
2025-05-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,36.27,28.26,-8.01
2025-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,39.29,30.03,-9.26
2025-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,42.31,30.29,-12.02
2025-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,45.33,32.84,-12.49
2025-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,48.35,37.77,-10.58
2025-10-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,51.38,38.99,-12.39
2025-11-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,54.4,39.11,-15.29
2025-12-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,57.42,41.71,-15.71
2026-01-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,60.44,46.0,-14.44
2026-02-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,63.46,46.0,-17.46
2026-03-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,66.49,48.73,-17.76
2026-04-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,69.51,52.4,-17.11
2026-05-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,72.53,55.19,-17.34
2026-06-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,75.55,57.31,-18.24
2026-07-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,78.58,58.05,-20.53
2026-08-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,81.6,62.07,-19.53
2026-09-01,JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,84.62,74.1,-10.52
2025-03-28,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,0.0,0.0,0.0
2025-04-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,3.73,5.13,1.4
2025-05-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,7.46,9.02,1.56
2025-06-01,JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,11.2,13.97,2.77
