Project_ID,Project_Name,Sector,District,Contractor_ID,Contractor_Name,Project_Manager_ID,Project_Manager_Name,Contract_Value,Approved_Budget,Amount_Spent,Remaining_Budget,Financial_Progress,Planned_Start_Date,Actual_Start_Date,Planned_End_Date,Expected_End_Date,Actual_End_Date,Project_Duration_Days,Elapsed_Days,Remaining_Days,Planned_Progress,Actual_Progress,Schedule_Variance,Budget_Variance,Delay_Days,Status,Schedule_Status,Budget_Status,Risk_Level,Project_Health_Score,Health_Status,Priority,Latitude,Longitude,Last_Update,Notes
JED-PROJ-001,Northern Jeddah Al Bawadi Traffic Flow Optimization,Roads & Transportation,Al Bawadi,CONT-006,Gulf Engineering & Construction,PM-003,Fahad Alghamdi,112999438,122299774,46427276,75872498,37.96,2026-01-27,2026-02-19,2027-06-01,2027-09-16,,490,196,378,44.69,26.45,-18.24,11.51,137,On Hold,Delayed,Watch,Critical,51.9,At Risk,Medium,21.593678,39.195287,2026-08-30,Procurement of long-lead items in progress.
JED-PROJ-002,Southern Jeddah Al Naeem Corridor Enhancement,Roads & Transportation,Al Rowais,CONT-008,Al Manar Contracting,PM-007,Yousef Alsubaie,685661316,757606585,626940151,130666434,82.75,2025-04-15,2025-04-29,2027-09-28,2027-09-08,,896,492,370,56.47,56.22,-0.25,26.53,0,In Progress,On Track,Over Budget,Medium,71.63,Monitor,Strategic,21.505779,39.170447,2026-08-25,Coordination ongoing with traffic management authority.
JED-PROJ-003,Eastern Jeddah Al Waha Traffic Flow Optimization,Roads & Transportation,Al Safa,CONT-005,Arabian Development Contractors,PM-002,Mohammed Alqahtani,345830962,362728713,89051145,273677568,24.55,2025-12-31,2026-02-11,2028-01-22,2028-02-07,,752,204,522,32.71,28.9,-3.81,-4.35,0,In Progress,On Track,On Budget,Low,89.15,Healthy,Strategic,21.580684,39.186455,2026-08-26,Awaiting utility relocation approval.
JED-PROJ-004,Western Jeddah Al Baghdadiyah Intersection Upgrade,Roads & Transportation,Al Hamdaniyah,CONT-007,Western Projects Company,PM-014,Tariq Alotaibi,227854736,234983314,183218387,51764927,77.97,2024-05-20,2024-05-30,2027-02-02,2027-06-09,,988,826,279,84.62,74.1,-10.52,3.87,127,Delayed,Delayed,On Budget,High,74.24,Monitor,Strategic,21.791903,39.204237,2026-08-26,Variation order under evaluation.
JED-PROJ-005,Central Jeddah Al Sanabel Intersection Upgrade,Roads & Transportation,Al Hamdaniyah,CONT-009,Future Cities Construction,PM-011,Nawaf Alqahtani,57029662,60455873,29353241,31102632,48.55,2025-03-28,2025-04-11,2027-05-17,2027-04-26,,780,510,235,67.18,71.74,4.56,-23.19,0,In Progress,On Track,Under Budget,Low,84.67,Monitor,Medium,21.774665,39.197521,2026-08-27,Additional manpower assigned to recover schedule.
JED-PROJ-006,Corniche Al Ruwais Traffic Flow Optimization,Roads & Transportation,Al Khalidiyah,CONT-018,First Route Engineering,PM-013,Hassan Alzahrani,57025358,60980531,63407293,-2426762,103.98,2025-05-05,2025-05-09,2026-10-09,2026-09-27,,522,482,24,93.1,93.34,0.24,10.64,0,In Progress,On Track,Over Budget,Low,89.17,Healthy,Medium,21.578075,39.144348,2026-09-01,Coordination ongoing with traffic management authority.
JED-PROJ-007,Airport District Al Aziziyah Mobility Improvement,Roads & Transportation,Al Baghdadiyah,CONT-010,Saudi Infrastructure Solutions,PM-005,Khalid Alotaibi,41976377,40738810,30201558,10537252,74.13,2025-05-04,2025-05-20,2026-07-10,2026-12-03,,432,471,91,99.0,78.59,-20.41,-4.46,148,Delayed,Critical Delay,On Budget,High,57.65,At Risk,Low,21.503425,39.15726,2026-09-03,
JED-PROJ-008,Obhur Al Naseem Transport Link Upgrade,Roads & Transportation,Obhur,CONT-007,Western Projects Company,PM-008,Omar Alshehri,526284322,599872095,473590343,126281752,78.95,2025-09-13,2025-09-08,2027-02-02,2027-09-25,,507,360,387,70.02,36.45,-33.57,42.5,242,Delayed,Critical Delay,Over Budget,Critical,8.12,Critical,Strategic,21.754966,39.141561,2026-08-30,Procurement of long-lead items in progress.
JED-PROJ-009,Al Balad Al Manar Intersection Upgrade,Roads & Transportation,Obhur,CONT-004,Jeddah Urban Works Co.,PM-006,Saad Alshammari,229613033,262223079,268446863,-6223784,102.37,2025-06-10,2025-06-16,2026-11-13,2026-10-25,,521,444,52,86.37,82.4,-3.97,19.97,0,In Progress,On Track,Over Budget,Low,73.9,Monitor,Strategic,21.724096,39.117822,2026-08-25,Contractor submitted recovery plan.
JED-PROJ-010,King Abdulaziz Road Al Marwah Intersection Upgrade,Roads & Transportation,Al Rawdah,CONT-005,Arabian Development Contractors,PM-003,Fahad Alghamdi,320888545,323334030,242248268,81085762,74.92,2025-03-28,2025-03-17,2027-03-07,2027-03-31,,709,535,209,73.91,79.16,5.25,-4.24,0,In Progress,Ahead of Schedule,On Budget,Low,92.8,Healthy,Strategic,21.577941,39.141704,2026-09-02,Variation order under evaluation.
